Store Name (EN),Store Name (AR),Reason Not Eligible,Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
Altababah,Altababah,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://altababahstore.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/altababah-01890d36-7d44-ac4c-148f-155e1d048acc,"paymentLink, split-in-4",RuntimeError,
Alzafer Hospital,مستشفى الظافر,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://alzaferhospital.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alzafer-hospital-01898d0c-16d3-094a-723b-f4aa3272b2b4,"paymentLink, split-in-4",RuntimeError,
ANNECY CLINIC,عيادات انسي تجميل جلدية أسنان,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://annecy-sa.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/annecy-clinic-018f3301-6b5f-cb29-fac6-86148c87dae3,"paymentLink, split-in-4",URLError,fancy clinics and high-quality cosmetic services
Avenue Medical Center,مركز آفنيو الطبي,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://avenue.com.sa,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/avenue-medical-center,"paymentLink, split-in-4",RuntimeError,Avenue Medical Center (Avenue) is the first accredited medical center in the Kingdom of Saudi Arabia from the Saudi Center for Accreditation of Health Institutions (CBAHI)
Badri polyclinics,مجمع عيادات البدري الطبي,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://albadripolyclinic.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/badri-polyclinics,"paymentLink, split-in-4",URLError,Providing comprehensive health care and participating in raising the level of medical services through professional medical candidates.
Blue deem medical centre,مركز بلو ديم الطبي,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://linktr.ee/bluedeem,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/blue-deem-medical-centre-018a8ec7-66b8-806a-2d56-3375221ce83a,"paymentLink, split-in-4",not crawled,
Bylsan Clinic,Bylsan Clinic,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://bylsanc.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/bylsan-clinic-01890d36-7d45-0025-4af4-148d5ccd01d9,"paymentLink, split-in-4",RuntimeError,
candy bakery,كاندي بيكري,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://candybakerysa.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/candy-bakery-019324ee-7891-9018-fcf4-4d0fbc21eb3d,"paymentLink, split-in-4",http_429,
Click,كليك,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://clicke2025.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-ltqt-whd-0193b1a7-e7e4-3cb9-fd5c-dc96ca1318cb,"paymentLink, split-in-4",URLError,
controlcorners,controlcorners,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://control-corners.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/controlcorners-018c8b8b-42c3-e02a-3f7b-bfdb990f8348,"paymentLink, split-in-4",URLError,"Sale, installation, and maintenance of surveillance cameras and attendance systems. Installation and maintenance of all types of networks."
Daleel Clinics,Daleel Clinics,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://daleel-sa.net,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/daleel-clinics-018e0875-96ba-6c4e-2727-6425171fb833,"paymentLink, split-in-4",RuntimeError,
Dana Catering,Dana Catering,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://danamodern.com/portal,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Dana-Catering-018c5e68-1623-be9c-ed43-7d655cc45e27,"paymentLink, split-in-4",URLError,"This merchant offers a variety of products across multiple categories, providing customers with an extensive selection to choose from. The focus is on quality and customer satisfaction, ensuring that "
Dar Tala Medical Complex,Dar Tala Medical Complex,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://dartala.sa/ar,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/dar-tala-medical-complex,"paymentLink, split-in-4",RuntimeError,
Darb,درب,Education / training services,Education & Training,Low,25,https://darbservice.com,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/darb-018943c9-1ff0-5168-b1ab-1ca7b181796b,"paymentLink, split-in-4",RuntimeError,The best digital marketing company in Saudi Arabia
Derma Clinics,Derma Clinics,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://derma-clinic.com/derma-clinics,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/derma-clinics-018954a1-9ee3-0fe7-9092-00c68f362ee9,"paymentLink, split-in-4",http_403,
,DR FAYEZ ALBAZ DENTAL CENTER مركز د فايز الباز لطب الاسنان,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://linktr.ee/fayezbazdental,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/dr.fayez-albaz-dental-center,"paymentLink, split-in-4",not crawled,Specialized Dental & Orthodontic center  in Tabuk city since 2000 AD. Distinguished medical competencies and experience extending for more than 35 years.
Dr. Ahmed ABANOMY Medical Complex,مجمع الدكتور احمد ابانمي الطبي,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://drabanomyclinic.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/dr-ahmed-abanomy-medical-complex-018d796d-0917-1e33-f78a-c15aecb9e9fd,"paymentLink, split-in-4",URLError,POLO CLINIC
drhealthclinics,drhealthclinics,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://drhealth-clinics.com/ar,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/drhealthclinics-0189540a-2178-bf91-f133-3ffa414db299,"paymentLink, split-in-4",URLError,
Eastern Province Driving Academy,Eastern Province Driving Academy,Education / training services,Education & Training,Low,25,https://epda-sa.com/en,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/eastern-province-driving-academy-0189541d-7adf-6a25-5fc9-2670861c6362,"paymentLink, split-in-4",URLError,
Elite Medical Company,إيليت الطبية,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://eliteclinic.sa,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/elite-medical-company-018c8794-82ec-c32e-9b07-c0eb95b09dee,"paymentLink, split-in-4",URLError,
Eradh Physiotherapy SA,Eradh Physiotherapy SA,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://linktr.ee/Eradh.phys,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Eradh-Physiotherapy-SA-01895269-c902-0c05-d650-f9fa195a506b,"paymentLink, split-in-4",not crawled,"Linktree allows you to maximize the potential of your links. It provides a platform where you can organize and showcase multiple links in one place, enhancing your online presence."
Establishment Omar Yahya Abualqassim hassan hakami,مؤسسة عمر يحي ابوالقاسم حسن حكمي,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://tulipaccessory.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/establishment-omar-yahya-abualqassim-hassan-hakami-018cd43d-630a-62ed-1f84-77aa772a0d92,"paymentLink, split-in-4",RuntimeError,
Etminan Medical Laboratories Group,Etminan Medical Laboratories Group,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://etminanlab.com/en/home-en,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/etminan-medical-laboratories,"paymentLink, split-in-4",http_404,Etminan is a chain of medical laboratories that provide high quality services with affordable prices
Eve clinic,إيف كلينيك,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://eveclinic.com.sa,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/e-ghafahateveclinic-com-sa-01898d7b-6a14-48dc-7acd-fc4d26357fd9,"paymentLink, split-in-4",http_403,
FForce,FForce,Education / training services,Education & Training,Low,25,https://wearefforce.com,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/FForce-018f1a57-e211-2d28-4248-1b301acc54e9,"paymentLink, split-in-4",URLError,"Unleashing Your Innate Force is a supportive community for ambitious women to learn, connect, and tap into their inner strength to achieve their goals and realize their potential. Join us to escape co"
Geneo clinic,جينو كلينك,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://dashboard.geneoclinic.co/register,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/geneoclinic-01914ff6-8f45-d42a-a6e2-e017a5e50ca1,"paymentLink, split-in-4",URLError,
Golden Path Travel and Tourism Est,مؤسسة المسار الذهبي للسفر والسياحة,Travel & tourism services,Travel & Tourism,Low,25,https://masartravelagency.com,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Golden-Path-Travel-and-Tourism-Est-018b382e-6638-d4e8-a0ba-b42ebf973f32,"paymentLink, split-in-4",http_403,"Masar Travel and Tourism offers a variety of travel packages and tourism promotions, especially for Eid al-Fitr 1445. Explore destinations such as Mauritius, Azerbaijan, Turkey, Salalah, Georgia, Bosn"
GROUP SATTAR FEB FOR CONTRACTING,مجموعة ستار فاب للمقاولات,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://starfab-group1.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/GROUP-SATTAR-FEB-FOR-CONTRACTING-018c2e79-fab5-7ea8-f649-d879f8182c35,"paymentLink, split-in-4",http_404,Facility management services including deep cleaning services and maintenance and operational support.
gulf smile complex,gulf smile complex,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://mygulfsmile.com/branch3/UmmSurarBranch.html,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/gulf-smile-complex-01895287-5822-911d-1a39-b847fc9e334f,"paymentLink, split-in-4",RuntimeError,
Hippie Eye co w.l.l,هيبي اي,Education / training services,Education & Training,Low,25,https://hippieye.com,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Hippie-Eye-co-w.l.l-018b481e-b1af-ea8e-640f-a1696a8297d1,"paymentLink, split-in-4",RuntimeError,"This merchant offers a wide range of products across various categories to meet diverse customer needs. With a focus on quality and customer satisfaction, they aim to provide an exceptional shopping e"
HUDUOA MEDICAL,HUDUOA MEDICAL,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://huduoa.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/HUDUOA-MEDICAL-018dd098-4d9c-1125-7206-a0bdd404c2e7,"paymentLink, split-in-4",URLError,Hodoo Medical Center offers a range of healthcare services aimed at promoting well-being and tranquility. Our focus is on providing a calm and supportive environment for all patients seeking medical a
Ideal Bookings,Ideal Bookings,Travel & tourism services,Travel & Tourism,Low,25,https://ideal-bookings.net,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ideal-bookings-0191b1c6-13a6-4456-370e-c689e34f00fb,"paymentLink, split-in-4",RuntimeError,
IMC,IMC,Education / training services,Education & Training,Low,25,https://imcinstitute.ae,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/imc-01890d36-7d46-519d-5d1b-8863ef0201ce,"paymentLink, split-in-4",http_403,
Jadore Clinic,Jadore Clinic,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://jadoreclincs.com/ar,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/jadore-clinic,"paymentLink, split-in-4",RuntimeError,
KAYAN ALRIYADH MEDICAL CO,KAYAN ALRIYADH MEDICAL CO,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://kayanclinic.business.site,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/kayan-alriyadh-medical-co-018952ce-4c9d-7f8e-dc6d-1016b7d71b31,"paymentLink, split-in-4",http_404,
keto time,keto time,Meal-plan / food subscription service,Food Service & Restaurants,Low,25,https://ketotime.shop,,,,,,,,Meal plans,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mkhbz-lrshqh-llm-jnt-01938841-0b59-b600-1b39-0fbde5bfa17b,"paymentLink, split-in-4",RuntimeError,
,labeaute clinics | عيادات لابوتيه الطبية,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://labeaute-store.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/la-beauté,"paymentLink, split-in-4",URLError,La Beauté Cosmetic Clinics in Riyadh
Lamssa Clinics,Lamssa Clinics,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://lamssaclinics.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/group-of-lamssa-medical-center-co-ltd-018e1893-9f2a-aa73-4626-c6446259959b,"paymentLink, split-in-4",http_403,
Laren Derma Clinic,Laren Derma Clinic,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://laren-pc.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/laren-derma-clinic-01890d36-7d46-519d-5d1b-889056ebece7,"paymentLink, split-in-4",URLError,
Laseran SA,Laseran SA,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://laseran.com.sa,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/laseran-sa-018953f3-c414-a565-3c0f-2771405860b0,"paymentLink, split-in-4",URLError,
Layali Aldiyafa for catering services,ليالي الضيافة,Entertainment / leisure services,Entertainment & Leisure,Low,25,https://layalialdiyafa.sa,,,,,,,,Entertainment,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/layali-aldiyafa-for-catering-services-018eb86a-7d09-f6bc-55ea-1e849e4a0e88,"paymentLink, split-in-4",http_500,
LUYAN SALON,LUYAN SALON,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://linktr.ee/LuyanSalon,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/LUYAN-SALON-018eb7fd-e212-81c2-6b85-bd2a3f861f55,"paymentLink, split-in-4",not crawled,"Indulge yourself at Luyan Salon, where enchanting beauty radiates from within, and we highlight it."
Makan music center,Makan music center,Education / training services,Education & Training,Low,25,https://makan-mc.com,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/makan-music-center,"paymentLink, split-in-4",RuntimeError,"Makan is a music school, production house, and an events management facility."
Mindful steps,Mindful steps,Education / training services,Education & Training,Low,25,https://mindfulsteps-sa.com/ar,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/manal-alqassem-019373bd-fc1f-4116-a827-08c2fd42c441,"paymentLink, split-in-4",URLError,
moon smile clinics,moon smile clinics,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://moonsmile-sa.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/moon-smile-clinics,"paymentLink, split-in-4",URLError,"Moon Smile is a different kind of skilled, confident and experienced dentist, with more than 10 years of experience"
my party,حفلتي للتجارة,Entertainment / leisure services,Entertainment & Leisure,Low,25,https://mypartyflowers.com,,,,,,,,Entertainment,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/my-party-018b61d2-d20d-4907-47db-c53faded3473,"paymentLink, split-in-4",RuntimeError,"A specialty store dedicated to selling and arranging both natural and artificial flowers, as well as balloons."
Mytrip tourism,Mytrip tourism,Travel & tourism services,Travel & Tourism,Low,25,https://mytrip.sa,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/mytrip-tourism-018dc6eb-6424-b889-6f60-7d2ae6d40766,"paymentLink, split-in-4",URLError,"""MyTrip Tour Operator is an institution licensed by Ministry of Tourism of Saudi Arabia to organize all its services with high-quality arrangements."
Natharti,Natharti,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://nathartiopt.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/natharti,"paymentLink, split-in-4",http_429,
Nevada Training Center,Nevada Training Center,Education / training services,Education & Training,Low,25,https://nevadatraining.net,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/nevada-training-center,"paymentLink, split-in-4",http_403,"Provide online and offline training for human resources, Management, Finance, Legal training and consultation"
New cars,New cars,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://newcarsksa.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/new-cars-018952f8-ab4c-59e6-1f13-d0331f3d3366,"paymentLink, split-in-4",URLError,
NewYou Medical Center,NewYou Medical Center,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://newyousa.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/newyou-medical-center-01890d36-7d47-3835-96d1-6a4e0fb4dab2,"paymentLink, qrFlow, split-in-4",TimeoutError,
Nomadic tribe,Nomadic tribe,Travel & tourism services,Travel & Tourism,Low,25,https://nomadictribe.com,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/nomadic-tribe-0192d74c-a56c-b791-dae4-cfda2d8184ef,"paymentLink, split-in-4",URLError,
Nutritions_Galaxy,Nutritions_Galaxy,Meal-plan / food subscription service,Food Service & Restaurants,Low,25,https://nutritionsgalaxy.com,,,,,,,,Meal plans,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/nutritions_galaxy-018953be-115a-34b0-5f39-fe1088864baf,"paymentLink, split-in-4",URLError,
Passion Academy,أكاديمية شغف,Education / training services,Education & Training,Low,25,https://passionsaudi.com,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/passion-academy-0191e021-6554-c045-2d87-3aaedbda62bf,"paymentLink, split-in-4",RuntimeError,
Pearl Clinics Al Malqa,عيادات بيرل الملقا,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://pearlmalqa.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/pearl-clinics-al-malqa-018ae9f1-861d-d93a-e6a5-fe895f9100d9,"paymentLink, split-in-4",URLError,"We aim to provide you with the highest levels of medical and cosmetic care through our team of consultant physicians and specialized experts, utilizing the latest global technologies and devices."
Petroleum and Natural Gas Institute of Technology and Training (PNGIT),Petroleum and Natural Gas Institute of Technology and Training (PNGIT),Education / training services,Education & Training,Low,25,https://linktr.ee/pngit,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/petroleum-and-natural-gas-institute-of-technology-and-training,"paymentLink, split-in-4",not crawled,PNGIT offers technical education and training in the fields of petroleum and natural gas exploration technology.
Qana General Medical Complex,مجمع قنا الطبي العام,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://qana-med.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/qana-general-medical-complex-018b3231-52d9-eb05-ef08-e48d1a775343,"paymentLink, split-in-4",URLError,Qena General Medical Complex offers all the medical services a family needs under one roof.
Qetaf Medical,Qetaf Medical,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://qetafmed.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/qetaf-medical,"paymentLink, split-in-4",URLError,
Queen Salon,Queen Salon,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://queensalon.business.site,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/queen-salon,"paymentLink, split-in-4",http_404,
Rahala,Rahala,Travel & tourism services,Travel & Tourism,Low,25,https://rahala.com.sa,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-rahala-international-travel-and-tourism-co-01913191-9221-d64c-9dbf-326e2fec154d,"paymentLink, split-in-4",RuntimeError,
Rawaee Studios,Rawaee Studios,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://rawaee.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/rawaee-studios-01895400-965c-cd0e-c9e5-2120dee8358e,"paymentLink, split-in-4",TimeoutError,
Reflect clinic,Reflect clinic,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://linktr.ee/reflect.clinic,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/reflect-clinic-018954b8-b694-1594-763b-76639bc6cd25,"paymentLink, split-in-4",not crawled,
Roots Dental,Roots Dental,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://salla.sa/rootsclinic2.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/roots-dental,"paymentLink, split-in-4",http_410,
Safwat Al-Muhadeb,صفوت المهيب,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://almuhadeb.com/SafwatAlMhaidab/Branches/Branches,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/almohaideb-for-medical-services-com-01890d36-7d44-ac4c-148f-154ccfcc4b8a,"paymentLink, qrFlow, split-in-4",URLError,
saih almusafir travel,saih almusafir travel,Travel & tourism services,Travel & Tourism,Low,25,https://salmusafir.com,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/saih-almusafir-travel,"paymentLink, split-in-4",URLError,Premium Travel & tourism services.
San Spa,سان سبا,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://salla.sa/san0spa,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/shrk-slh-nsr-l-mry-lqbd-0193b677-ddce-7ed5-718d-a557a9777894,"paymentLink, split-in-4",http_410,
Sdietclinic,عيادات حمية التخصصية,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://sdietclinic.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/specialist-diet-clinic,"paymentLink, split-in-4",RuntimeError,Therapeutic clinics concerned with diet and sports systems for the purpose of losing or gaining weight and nutritional weight for medical diseases
SEE THE WORLD TRAVEL AND TOURISM AGENCY,SEE THE WORLD TRAVEL AND TOURISM AGENCY,Travel & tourism services,Travel & Tourism,Low,25,https://shoofeldonia.com,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/SEE-THE-WORLD-TRAVEL-AND-TOURISM-AGENCY-018952f3-8b26-1805-280e-396ff6a30e73,"paymentLink, split-in-4",RuntimeError,"This merchant offers a variety of products across different categories, providing customers with a wide selection to choose from. The focus is on quality and customer satisfaction, ensuring that all i"
Strong Care,العناية القوية لخدمات السيارات,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://strong-car-care.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/strong-care-01894a2f-3d81-f5e3-ceaf-563ffb4c2176,"paymentLink, split-in-4",URLError,Strong Car Care
Tadawi medical company,Tadawi medical company,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://tadawiclinic.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/tadawi-medical-company-01890d36-7d48-08d0-fe22-dde0e234685c,"paymentLink, split-in-4",RuntimeError,
Tamkeen Heb,تمكين هب,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://tamkeenheb.sa,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/tamkeen-heb-0193a79e-db75-c9fd-9bc7-e5ff2d3c1603,"paymentLink, split-in-4",URLError,
Tejwal Servies,خدمات تجوال,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://tejwaltra.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/tejwal-servies-01891bed-a870-5ce7-db1f-3e709da36ac2,"paymentLink, split-in-4",http_503,
Thanaya Almasiya Clinics,مجمع ثنايا الماسية الطبي العام,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://linktr.ee/thanaya,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Thanaya-Almasiya-Clinics-018d3a6a-40aa-0f98-1ff5-4ea7ac9b947d,"paymentLink, split-in-4",not crawled,Al-Thnaya Al-Masiyah Medical Complex offers a range of medical services and specialties to cater to patients' needs.
The eighth dimension,The eighth dimension,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://the-8d.com,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/the-eighth-dimension-0191076c-c72c-e6ac-d47c-757b39742b6b,"paymentLink, split-in-4",URLError,The eighth dimension store is the gate for tech world.
The Five Doctors,The Five Doctors,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://thefivedoctors.com,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/the-five-doctors-0189529b-7bea-51f2-7807-93f52f3b330d,"paymentLink, split-in-4",RuntimeError,
The Ninth,The Ninth,Salon & spa services,Beauty Services (Salons & Spas),Low,25,https://the9th.online,,,,,,,,Salons & Spas,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/the-ninth-paylink,"paymentLink, split-in-4",URLError,
touchmedical,touchmedical,Healthcare / clinic services,Healthcare Services (Clinics),Low,25,https://touchmedical.sa,,,,,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/touchmedical-018adad2-0dae-e60d-ab12-6f79a6d4feed,"paymentLink, split-in-4",URLError,
Trade step,خطوة تداول,Education / training services,Education & Training,Low,25,https://tradestep-academy.com/ar,,,,,,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/m-hd-khtw-tqdm-lltdryb-0192f8e3-98ef-f594-188c-c22535ec28bc,"paymentLink, split-in-4",RuntimeError,
Ultimate Wellness,Ultimate Wellness,Meal-plan / food subscription service,Food Service & Restaurants,Low,25,https://ultimate-wellness.co,,,,,,,,Meal plans,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/ultimate-wellness-01931d3a-aaa0-f1fb-d83d-3c848f6c1f61,"paymentLink, split-in-4",URLError,
waha travel & tourism,waha travel & tourism,Travel & tourism services,Travel & Tourism,Low,25,https://wahatravel.net,,,,,,,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/waha-travel-and-tourism-01916971-77d9-c3b9-3a3f-3418b9bb85a8,"paymentLink, split-in-4",RuntimeError,Travel and tourism
